Commodity,"52W High","52W Low","Apr 1, 2025","Mar 25, 2025","Mar 18, 2025","Mar 11, 2025","Mar 4, 2025","Feb 25, 2025","Feb 18, 2025","Feb 11, 2025","Feb 4, 2025","Jan 28, 2025","Jan 21, 2025","Jan 14, 2025","Jan 7, 2025","Dec 31, 2024","Dec 24, 2024","Dec 17, 2024","Dec 10, 2024","Dec 3, 2024","Nov 26, 2024","Nov 19, 2024","Nov 12, 2024","Nov 5, 2024","Oct 29, 2024","Oct 22, 2024","Oct 15, 2024","Oct 8, 2024","Oct 1, 2024","Sep 24, 2024","Sep 17, 2024","Sep 10, 2024","Sep 3, 2024","Aug 27, 2024","Aug 20, 2024","Aug 13, 2024","Aug 6, 2024","Jul 30, 2024","Jul 23, 2024","Jul 16, 2024","Jul 9, 2024","Jul 2, 2024","Jun 25, 2024","Jun 18, 2024","Jun 11, 2024","Jun 4, 2024","May 28, 2024","May 21, 2024","May 14, 2024","May 7, 2024","Apr 30, 2024","Apr 23, 2024","Apr 16, 2024","Apr 9, 2024","Apr 2, 2024"
"Australian Dollar/U.S. Dollar","116,344","-50,253","79,152","82,329","70,959","55,401","57,029","52,332","60,353","70,444","83,501","79,001","79,799","87,297","83,007","78,499","78,200","71,099",-735,"-22,286","-27,458","-27,106","-32,634","-31,759","-37,858","-41,530","-38,078","-50,253","-33,851","-4,644","31,978","2,620","-6,812","7,222","38,366","48,481","44,743","32,830","-4,043","-27,883","-12,132","11,293","19,343","36,384","62,043","46,923","49,360","51,593","77,142","72,522","92,394","114,876","116,344","101,610","114,086"
"Brazilian Real/U.S. Dollar","54,218","-43,814","-41,050","-42,553","-43,071","-43,770","-43,814","-3,962","-2,216","-1,437",-723,"38,407","35,292","36,067","33,867","26,000","22,045","22,320","17,176","18,647","7,685","7,003","7,540","13,371","4,392","3,025","4,952","9,637","36,941","36,777","32,321","30,599","36,778","52,841","51,235","54,218","54,127","41,785","42,339","44,720","43,388","41,471","23,477","20,793","25,625","20,125","37,302","37,285","38,249","37,468",-321,-558,"-1,605",531,"1,359"
"Canadian Dollar/U.S. Dollar","203,786","58,340","143,318","140,196","147,159","156,148","154,980","142,821","151,212","162,597","170,842","162,970","163,078","181,481","192,467","189,120","188,397","195,457","195,936","165,505","158,570","190,676","191,332","180,918","174,266","148,695","123,906","86,230","60,168","59,746","68,061","66,918","62,013","106,144","167,006","180,958","185,438","203,786","168,664","137,579","113,308","124,503","126,330","158,379","138,061","99,904","90,353","91,857","78,220","71,845","70,490","84,462","91,572","58,340","52,481"
"Swiss Franc/U.S. Dollar","61,672","17,728","49,769","46,102","43,025","42,241","48,071","50,769","51,505","53,757","55,303","55,450","57,758","56,343","54,444","48,095","46,382","40,379","52,309","53,351","54,704","52,622","44,011","39,519","41,676","36,435","30,369","27,158","21,716","21,396","17,728","20,885","23,439","27,446","30,096","26,308","29,131","45,149","54,568","61,672","59,298","56,434","49,331","44,624","53,865","56,817","57,936","51,353","51,769","53,109","58,283","56,317","52,956","48,083","38,683"
"Euro/British Pound","6,896","-7,085","-5,785","-7,085","-5,456","-3,579","-3,643","-4,194","-4,254","-4,226","-4,213","-4,617","-2,831","-2,815","-1,874","-1,225","-1,161","-1,532","3,722","4,221","4,493","4,797","4,783","4,563","4,336","3,960","4,832","4,824","3,927","3,570","3,303","4,588","4,624","4,951","5,243","4,868","6,305","6,896","6,485","6,419","5,708","5,721","5,690","5,736","3,729","3,169","3,041","2,749","2,600","2,543","2,226","2,031","2,055","2,534","2,417"
"Euro/U.S. Dollar","55,114","-141,548","-82,872","-100,316","-92,360","-47,847","-19,259",-640,"26,195","39,974","36,471","41,595","44,295","48,337","45,004","51,061","55,114","48,089","54,716","34,476","32,427","21,047","-18,274",617,"31,448",-8,"-48,975","-74,895","-93,702","-112,828","-114,402","-123,807","-141,548","-135,522","-89,224","-54,027","-57,860","-40,813","-59,873","-49,549","-27,239","-12,721","-9,767","-27,864","-72,345","-98,786","-84,652","-69,453","-38,282","-22,279","-10,737","-5,265","-28,654","-52,032","-33,432"
"British Pound/U.S. Dollar","43,560","-154,269","-38,790","-50,682","-38,744","-32,361","-13,710","6,186","10,797","16,480","25,029","39,354","28,749","14,985","-5,723","-14,252","-12,844","-16,258","-21,904","-8,995","-12,786","-39,066","-59,148","-55,560","-74,301","-81,062","-99,448","-108,008","-111,435","-104,383","-79,751","-107,278","-120,955","-105,245","-79,955","-58,340","-81,080","-123,159","-154,269","-149,118","-94,586","-65,059","-45,026","-48,760","-56,434","-48,778","-32,173",-20,"26,795","32,970","43,560","40,853","2,972","-27,055","-39,400"
"Japanese Yen/U.S. Dollar","194,545","-149,269","-138,547","-135,740","-136,776","-149,269","-145,919","-108,945","-70,193","-68,154","-30,683","-6,737","8,829","31,023","20,284","9,602","3,683","-3,101","-24,598",-164,"23,290","49,209","72,173","47,295","28,082","-10,628","-36,639","-37,659","-66,747","-77,508","-71,839","-66,719","-46,765","-31,450","-28,401","-23,527","12,196","77,580","108,768","159,089","189,867","194,545","181,858","159,766","145,627","129,895","166,122","146,517","133,294","141,773","176,122","179,144","167,742","156,942","139,494"
"Mexican Peso/U.S. Dollar","2,423","-144,453","-50,125","-58,694","-56,320","-30,293","-17,305","-26,207","-12,824","-13,270","-9,518","-3,023","2,423","-3,765","-10,545","-17,949","-15,811","-12,332","-6,173","-1,838",216,"-11,007","-16,321","-27,000","-31,575","-20,992","-23,735","-27,901","-24,765","-10,852","-6,352","-24,212","-27,678","-29,312","-33,410","-48,708","-64,007","-67,062","-71,076","-64,182","-65,743","-65,349","-58,963","-50,802","-120,588","-127,410","-124,698","-122,287","-116,601","-116,374","-123,325","-128,387","-132,119","-144,453","-139,435"
"New Zealand Dollar/U.S. Dollar","58,610","-30,391","46,893","42,865","41,891","55,326","58,610","55,044","53,832","51,398","51,675","49,651","53,841","54,644","57,093","51,512","49,247","46,323","31,847","25,730","27,887","21,323","13,012","9,620","3,607",-540,"-1,122","-3,503","-5,413",-928,-262,-347,"-2,156","7,659","14,000","16,811","19,140","13,964","-3,286","-12,102","-26,828","-30,391","-27,567","-22,510","-11,704","-7,663","-1,779","2,744","12,162","13,792","10,607","14,402","14,570","16,239","10,695"
