Commodity,"52W High","52W Low","Apr 1, 2025","Mar 25, 2025","Mar 18, 2025","Mar 11, 2025","Mar 4, 2025","Feb 25, 2025","Feb 18, 2025","Feb 11, 2025","Feb 4, 2025","Jan 28, 2025","Jan 21, 2025","Jan 14, 2025","Jan 7, 2025","Dec 31, 2024","Dec 24, 2024","Dec 17, 2024","Dec 10, 2024","Dec 3, 2024","Nov 26, 2024","Nov 19, 2024","Nov 12, 2024","Nov 5, 2024","Oct 29, 2024","Oct 22, 2024","Oct 15, 2024","Oct 8, 2024","Oct 1, 2024","Sep 24, 2024","Sep 17, 2024","Sep 10, 2024","Sep 3, 2024","Aug 27, 2024","Aug 20, 2024","Aug 13, 2024","Aug 6, 2024","Jul 30, 2024","Jul 23, 2024","Jul 16, 2024","Jul 9, 2024","Jul 2, 2024","Jun 25, 2024","Jun 18, 2024","Jun 11, 2024","Jun 4, 2024","May 28, 2024","May 21, 2024","May 14, 2024","May 7, 2024","Apr 30, 2024","Apr 23, 2024","Apr 16, 2024","Apr 9, 2024","Apr 2, 2024"
"Australian Dollar/U.S. Dollar","33,422","-101,083","-75,863","-77,446","-70,449","-48,226","-48,233","-45,580","-56,723","-65,585","-75,309","-71,831","-71,296","-77,631","-73,433","-71,411","-68,170","-61,531","8,485","21,401","31,776","31,598","29,795","30,976","27,516","27,679","19,269","33,422","14,528","-11,248","-40,122","-14,042","-7,864","-19,159","-38,885","-42,616","-40,199","-31,370","-8,814","11,113","2,413","-15,836","-23,676","-41,656","-64,785","-51,303","-49,916","-56,233","-77,171","-64,516","-83,235","-96,239","-101,083","-92,341","-102,685"
"Brazilian Real/U.S. Dollar","43,167","-54,883","37,035","40,349","40,721","41,853","43,167","2,378",940,"1,080",242,"-38,494","-34,131","-34,874","-32,977","-25,574","-20,679","-20,937","-16,393","-17,414","-7,567","-7,277","-7,577","-12,525","-4,269","-2,805","-5,143","-9,979","-38,255","-37,262","-32,306","-30,364","-50,811","-52,963","-50,955","-53,842","-54,883","-41,159","-41,998","-44,526","-42,684","-41,060","-22,320","-19,757","-24,587","-18,860","-36,582","-37,658","-38,259","-37,643",286,964,901,"-2,616","-3,261"
"Canadian Dollar/U.S. Dollar","-53,385","-196,263","-130,016","-129,534","-136,582","-142,410","-143,770","-137,906","-144,643","-150,834","-160,444","-147,601","-150,787","-167,153","-178,589","-175,708","-176,720","-182,055","-181,554","-159,346","-154,002","-183,566","-182,389","-175,229","-167,499","-140,631","-122,393","-89,151","-70,003","-65,589","-73,150","-68,953","-68,544","-110,002","-164,410","-179,611","-181,632","-196,263","-161,603","-132,473","-111,212","-120,352","-122,412","-147,931","-129,493","-91,639","-86,585","-90,824","-80,303","-69,221","-63,201","-76,450","-82,815","-53,385","-51,223"
"Swiss Franc/U.S. Dollar","-17,108","-49,793","-42,764","-37,593","-34,375","-36,957","-37,775","-39,460","-38,359","-38,745","-42,258","-43,000","-41,837","-38,701","-37,888","-32,813","-28,382","-21,800","-34,992","-41,094","-39,676","-37,071","-32,694","-29,981","-33,998","-32,654","-26,161","-22,459","-22,854","-19,290","-17,108","-21,304","-21,882","-24,612","-25,714","-21,664","-22,073","-34,520","-42,237","-49,793","-46,088","-43,443","-35,057","-37,390","-42,863","-45,763","-44,366","-40,645","-41,107","-41,787","-41,786","-42,562","-36,212","-31,764","-22,370"
"Euro/British Pound","-1,481","-13,065","-2,143","-1,481","-2,699","-4,888","-4,268","-4,328","-4,782","-4,868","-4,077","-3,790","-4,366","-4,099","-3,714","-4,125","-4,258","-4,632","-9,635","-10,448","-10,992","-9,935","-10,512","-10,657","-10,231","-9,797","-10,489","-10,941","-10,498","-9,639","-8,993","-10,163","-10,177","-10,375","-11,687","-11,237","-13,065","-10,870","-10,667","-10,145","-10,191","-11,477","-10,537","-9,740","-8,467","-7,409","-6,517","-7,352","-8,604","-8,320","-7,193","-7,323","-6,108","-6,714","-6,430"
"Euro/U.S. Dollar","100,018","-75,573","51,835","65,525","59,425","13,090","-10,106","-25,425","-51,420","-64,425","-58,614","-66,604","-62,486","-60,397","-64,124","-69,564","-68,507","-65,895","-75,573","-57,489","-56,009","-42,557","-7,437","-21,653","-50,304","-28,524","17,150","39,098","55,327","71,698","69,646","81,433","100,018","92,838","56,017","26,983","33,580","17,799","35,906","24,749","3,623","-9,519","-8,431","7,951","43,644","67,870","57,572","41,475","17,155","4,590","-6,777","-9,989","12,224","32,723","16,794"
"British Pound/U.S. Dollar","142,183","-28,990","34,626","44,283","29,402","29,193","18,574","4,463",-579,"-3,168","-11,323","-21,672","-8,257",438,"14,506","20,835","19,323","21,647","27,125","19,326","21,634","40,315","56,050","45,084","66,356","74,576","85,802","93,135","93,765","86,992","62,979","90,288","108,078","89,931","67,511","47,812","74,399","111,471","142,183","132,902","84,690","62,041","44,048","47,621","52,121","43,210","25,402","1,053","-20,075","-21,813","-28,990","-26,233","8,619","28,252","43,414"
"Japanese Yen/U.S. Dollar","133,902","-184,223","121,774","125,376","122,964","133,902","133,651","95,980","60,569","54,615","18,768",-959,"-14,673","-29,411","-20,189","-8,443","2,311","5,961","25,752","2,334","-22,633","-46,868","-64,902","-44,167","-24,817","12,771","34,110","36,528","56,772","66,011","56,840","55,770","41,116","25,868","23,585","23,104","-11,354","-73,460","-107,108","-151,072","-182,033","-184,223","-173,900","-147,753","-138,579","-132,101","-156,039","-144,367","-126,182","-134,922","-168,388","-179,919","-165,619","-162,151","-143,230"
"Mexican Peso/U.S. Dollar","139,691","-1,544","51,080","59,039","55,952","30,086","19,456","28,730","14,673","15,850","12,262","5,224","-1,544","5,997","12,391","20,671","18,843","14,614","7,928","4,184","3,458","14,014","20,193","31,095","35,045","23,897","25,246","29,193","26,299","12,426","7,723","27,026","30,479","30,720","34,646","50,094","65,336","67,660","69,317","61,710","63,323","63,627","57,806","50,254","118,993","124,671","120,919","117,892","112,961","112,312","119,045","123,655","127,731","139,691","133,730"
"New Zealand Dollar/U.S. Dollar","30,743","-55,765","-45,048","-41,567","-40,444","-52,931","-55,765","-53,709","-52,163","-49,336","-49,090","-47,031","-51,223","-52,089","-54,624","-48,315","-46,017","-42,507","-28,207","-23,308","-24,381","-18,438","-11,660","-8,199","-2,167",-323,-292,"1,281","1,970","-1,458","-1,890","-3,315",-238,"-8,316","-13,769","-15,624","-16,751","-11,408","4,514","12,561","25,912","30,743","26,642","20,329","10,978","7,205","2,046","-1,370","-11,200","-11,191","-8,551","-12,047","-11,726","-13,547","-7,528"
"South African Rand/U.S. Dollar","33,053","-3,812","16,075","15,795","12,893","2,110","3,420","1,633","3,949",997,"-3,685","-3,099","-3,812","-2,445","-2,139","2,152","3,061","1,422","27,926","29,436","29,682","30,793","29,817","29,230","28,978","28,145","27,699","31,976","32,939","32,634","33,053","14,700","13,330","11,994","11,240","12,082","13,774","12,233","10,837","9,230","8,837","9,015","5,529","1,345","2,003","4,816","3,299","1,725","2,739","1,503",715,"1,044",109,"-2,907","-2,226"
